features,importance
KMEMCHECK_ONESHOT_BY_DEFAULT,0.0
ALTERA_STAPL,0.0
RT2X00_LIB_LEDS,0.0
INTEL_MEI_ME,0.0
RT2X00_LIB_DEBUGFS,0.0
NVRAM,0.0
INTEL_MIC_HOST,0.0
RT2X00_DEBUG,0.0
INTEL_MIC_BUS,0.0
WLAN_VENDOR_REALTEK,0.0
SCIF_BUS,0.0
RTL8180,0.0
KMEMCHECK_PARTIAL_OK,0.0
VOP_BUS,0.0
RTL8187,0.0
KMEMCHECK_BITOPS_OK,0.0
INTEL_MEI_TXE,0.0
ZISOFS,0.0
NF_TABLES_IPV4,0.0
6LOWPAN_DEBUGFS,0.0
CRYPTO_HW,0.0
HAVE_KVM_EVENTFD,0.0
NF_TABLES_IPV6,0.0
6LOWPAN_NHC,0.0
CRYPTO_AEAD,0.0
NET_VENDOR_I825XX,0.0
NF_TABLES_NETDEV,0.0
6LOWPAN_NHC_DEST,0.0
CRYPTO_XTS,0.0
KVM_ASYNC_PF,0.0
NFT_EXTHDR,0.0
6LOWPAN_NHC_FRAGMENT,0.0
CCREE_FIPS_SUPPORT,0.0
NFT_META,0.0
6LOWPAN_NHC_HOP,0.0
KVM_MMIO,0.0
JOLIET,0.0
NF_NAT_TFTP,0.0
IPDDP_ENCAP,0.0
BCM2835_VCHIQ,0.0
SYSTEM_BLACKLIST_KEYRING,0.0
NF_NAT_REDIRECT,0.0
X25,0.0
BCM2835_VCHIQ_SUPPORT_MEMDUMP,0.0
HAVE_KVM_IRQ_ROUTING,0.0
LAPB,0.0
HAVE_KVM_IRQCHIP,0.0
NF_TABLES,0.0
PHONET,0.0
VIDEO_BCM2835,0.0
HAVE_KVM_IRQFD,0.0
NF_TABLES_INET,0.0
6LOWPAN,0.0
CRYPTO_DEV_CCREE,0.0
NETFILTER_SYNPROXY,0.0
SERIAL_SH_SCI,0.0
OF_PCI,0.0
IR_SIR,0.0
SND_SOC_ADAU1977_I2C,0.0
HID_SENSOR_HUB,0.0
USB_MSM_OTG,0.0
INTEL_MIC_X100_DMA,0.0
FSCACHE_DEBUG,0.0
VITESSE_PHY,0.0
SYSFS_SYSCALL,0.0
USB_VIDEO_CLASS,0.0
SND_SOC_ADAU7002,0.0
HID_SENSOR_CUSTOM_SENSOR,0.0
USB_QCOM_8X16_PHY,0.0
K3_DMA,0.0
SERIAL_SH_SCI_CONSOLE,0.0
USB_VIDEO_CLASS_INPUT_EVDEV,0.0
I2C_BRCMSTB,0.0
IR_SUNXI,0.0
SND_SOC_ADAU1761_SPI,0.0
INTEL_IDMA64,0.0
TI_ADC084S021,0.0
FSCACHE,0.0
I2C_BCM_IPROC,0.0
IR_SERIAL,0.0
SND_SOC_ADAU1781_SPI,0.0
FSCACHE_HISTOGRAM,0.0
TAHVO_USB,0.0
INTEL_IOATDMA,0.0
TI_ADC12138,0.0
FSCACHE_STATS,0.0
IR_SERIAL_TRANSMITTER,0.0
SND_SOC_ADAU1977_SPI,0.0
HID_ZYDACRON,0.0
TAHVO_USB_HOST_BY_DEFAULT,0.0
TI_ADC108S102,0.0
ZEROPLUS_FF,0.0
SND_SOC_AK4613,0.0
USB_KBD,0.0
USB_GADGET_DEBUG,0.0
MMP_TDMA,0.0
TI_ADS8688,0.0
ISO9660_FS,0.0
KALLSYMS,0.0
USB_GL860,0.0
SND_SOC_ADS117X,0.0
USB_MOUSE,0.0
USB_GADGET_VERBOSE,0.0
TI_AM335X_ADC,0.0
I2C_CBUS_GPIO,0.0
KALLSYMS_ALL,0.0
USB_GSPCA_BENQ,0.0
SND_SOC_AK4671,0.0
I2C_HID,0.0
SND_SOC_AK4642,0.0
HID_ALPS,0.0
TI_ADC161S626,0.0
CACHEFILES,0.0
SERIAL_SH_SCI_EARLYCON,0.0
SYSCTL_SYSCALL,0.0
USB_GSPCA,0.0
SND_SOC_AK4535,0.0
HID_PID,0.0
USB_STV06XX,0.0
SERIAL_SH_SCI_DMA,0.0
PCIE_ROCKCHIP,0.0
USB_M5602,0.0
SND_SOC_AK4554,0.0
USB_HIDDEV,0.0
MMP_PDMA,0.0
TI_ADS7950,0.0
ATM_IDT77252_USE_SUNI,0.0
POSIX_TIMERS,0.0
USB_MV_UDC,0.0
MOUSE_PS2_SENTELIC,0.0
XEN_DOM0,0.0
BT_HCIUART_H4,0.0
SERIO_PCIPS2,0.0
PCI_XEN,0.0
BT_HCIUART_NOKIA,0.0
JCORE_AIC,0.0
BT_HCIUART_BCSP,0.0
