feature,importance
X86_PAE,0.0
TOUCHSCREEN_MAX11801,2.6059652058079225e-06
PINCTRL_STM32,3.936390511586981e-07
VIDEO_EXYNOS4_IS_COMMON,3.782551147613165e-10
TOUCHSCREEN_MCS5000,5.95495852635331e-06
PINCTRL_STM32F429,3.037468351709071e-08
VIDEO_S5P_FIMC,9.145128429636e-11
TOUCHSCREEN_MMS114,3.4495877508733268e-06
VIDEO_S5P_MIPI_CSIS,4.632980082867624e-14
HAVE_ARCH_KASAN,3.090040465861583e-05
SPARSEMEM_VMEMMAP,3.4660035174807115e-05
TOUCHSCREEN_MELFAS_MIP4,6.323808460911183e-06
PINCTRL_STM32F469,1.2861408965811815e-07
B44,3.862656471792694e-06
TOUCHSCREEN_MTOUCH,3.3235983119215275e-06
TOUCHSCREEN_IMX6UL_TSC,2.133277727745074e-06
PINCTRL_STM32F746,2.7653662492307343e-08
SSB,7.049043767342098e-06
TOUCHSCREEN_INEXIO,5.598928624907271e-06
B44_PCI_AUTOSELECT,5.766023780553185e-06
TOUCHSCREEN_MK712,6.038728198863874e-06
PINCTRL_STM32H743,5.425691407113997e-08
SSB_PCIHOST_POSSIBLE,5.864346088627827e-06
HAVE_ARCH_MMAP_RND_COMPAT_BITS,3.5724672194667036e-06
SSB_PCIHOST,1.8945666045096564e-05
COMPAT,6.6154074741667435e-06
B44_PCICORE_AUTOSELECT,1.610999846083448e-06
VIDEO_EXYNOS4_FIMC_IS,1.04348997613353e-08
IP_SET_HASH_NETPORTNET,7.732020195941297e-07
NETXEN_NIC,5.693408193979325e-07
HISAX_EURO,1.5911241112953263e-07
UIO_AEC,4.150295273992148e-06
NFS_FS,5.745306409125857e-07
MODULE_FORCE_LOAD,2.9027921331850336e-06
IP_SET_HASH_NET,8.325108604007715e-07
QED_SRIOV,2.7204056309752957e-07
DE_AOC,2.026246313082795e-07
UIO_SERCOS3,1.545809256227703e-05
LOCKD,2.2363007313372084e-06
CRYPTO_DES3_EDE_X86_64,1.2538570601344234e-05
MODULE_UNLOAD,2.287251724792225e-06
IP_SET_HASH_NETNET,2.027289924829571e-06
QEDE,1.533140350495135e-05
HISAX_NO_SENDCOMPLETE,2.2939780299977752e-08
UIO_PCI_GENERIC,5.701315414782121e-06
SUNRPC,1.3685336431723994e-06
CRYPTO_KHAZAD,6.515430301207361e-06
MODULE_FORCE_UNLOAD,1.2268520430804703e-06
IP_SET_HASH_NETPORT,1.8787346944267687e-07
HISAX_NO_LLC,1.1023712642980976e-07
UIO_NETX,6.323966677272283e-06
NFS_ACL_SUPPORT,1.797727128787352e-06
CRYPTO_SALSA20,1.0142226061352721e-05
IP_SET_HASH_NETIFACE,9.292654062127584e-08
QED_RDMA,2.960716058930709e-07
HISAX_NO_KEYPAD,3.0957760292010754e-05
NFS_V3_ACL,3.421678186973389e-08
CRYPTO_SALSA20_586,0.0
MODULE_SRCVERSION_ALL,4.55541854167106e-06
IP_SET_LIST_SET,9.128967615285882e-07
HISAX_1TR6,1.5750756498675192e-07
NET_VENDOR_QUALCOMM,3.4878954214616676e-06
TYPEC,2.5979057627895614e-06
NFS_V2,1.2263565331023982e-07
CRYPTO_SALSA20_X86_64,8.545134699110842e-06
MODULE_SIG,4.666716949625698e-06
IP_VS_IPV6,1.0965378177143863e-07
QCA7000,8.166293810674121e-07
HISAX_NI1,2.7811331437681925e-08
TYPEC_WCOVE,9.449998299116821e-06
UIO_PRUSS,7.645532812446341e-06
NFS_V3,1.5397585141127197e-07
CRYPTO_CHACHA20_X86_64,1.5413837807936576e-05
MODULE_SIG_FORCE,3.4691247825216337e-06
IP_VS_DEBUG,3.9513246310498116e-07
QCA7000_SPI,3.431197934353913e-07
TYPEC_UCSI,3.160975305682047e-05
UIO_MF624,5.468059327419543e-06
NFS_V4,1.079981216532644e-07
CRYPTO_SEED,4.582353085028809e-06
MODULE_SIG_ALL,2.4251197502925092e-05
QCA7000_UART,2.389888181915789e-07
UCSI_ACPI,4.423483542610424e-07
UIO_HV_GENERIC,1.1498133487436485e-05
SUNRPC_GSS,1.5349163546788428e-06
CRYPTO_SERPENT,1.652511019068485e-06
MODULE_SIG_SHA1,2.283169679949135e-06
QCOM_EMAC,2.7587262915170154e-07
HISAX_16_3,9.337566345562039e-07
USB_LED_TRIG,4.667488491930308e-05
VFIO_IOMMU_TYPE1,1.9688193439159408e-07
NFS_SWAP,2.5281696185360216e-07
CRYPTO_SERPENT_SSE2_X86_64,1.0157156867821463e-05
IP_VS_PROTO_TCP,3.429225153799214e-07
NET_VENDOR_REALTEK,1.0162393708018593e-05
HISAX_TELESPCI,1.3614108146118406e-07
UWB_I1480U,1.4625826408998503e-05
VFIO,2.1545574799495202e-06
SUNRPC_SWAP,7.512949636569453e-08
CRYPTO_SHA1,9.62891905445906e-07
CRYPTO_SERPENT_SSE2_586,0.0
IP_VS_PROTO_UDP,8.701428045857474e-06
ATP,5.2035606589857885e-05
MMC_DEBUG,4.72769070969081e-06
NFS_V4_1,4.1128732903555333e-07
CRYPTO_SERPENT_AVX_X86_64,7.592475269383243e-06
IP_VS_PROTO_AH_ESP,1.423453532799774e-06
8139CP,1.99100823576762e-05
HISAX_S0BOX,4.496422020258469e-07
SUNRPC_BACKCHANNEL,2.540932450271103e-08
CRYPTO_SHA256,1.3068083698756275e-08
CRYPTO_SERPENT_AVX2_X86_64,7.81312427239208e-06
IP_VS_PROTO_ESP,8.45651163559616e-07
HISAX_AVM_A1,0.0
8139TOO,6.30626342137394e-07
PWRSEQ_EMMC,1.5492588476397244e-06
NFS_V4_2,3.155368506481084e-06
CRYPTO_TEA,7.5611501945306976e-06
IP_VS_PROTO_AH,1.235844662903801e-06
8139TOO_PIO,1.3064652012699739e-05
HISAX_FRITZPCI,7.183803212973721e-08
PWRSEQ_SD8787,1.0785320440275646e-07
VFIO_VIRQFD,1.3622815731867858e-07
PNFS_FILE_LAYOUT,1.7124820265624242e-07
CRYPTO_TWOFISH,4.737559459728404e-06
